"Class","Name","Description","Mapped US Core Profiles","Mapped US Quality Core Profiles","Mapped US Quality Core Elements"
"Adverse Events","Adverse Event Condition","Change to patient condition that could be an unintended effect of clinical interventions. Examples include but are not limited to rash, fracture, fever, etc.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-adverseevent","USQualityCoreAdverseEvent.event; USQualityCoreAdverseEvent.date; USQualityCoreAdverseEvent.recordedDate; USQualityCoreAdverseEvent.detected; USQualityCoreAdverseEvent.actuality; USQualityCoreAdverseEvent.subject"
"Adverse Events","Adverse Event Outcome","Resulting patient status or consequence following an unexpected condition change or clinical event. Examples include but are not limited to hospitalized, recovered, recovered with sequelae, and death.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-adverseevent","USQualityCoreAdverseEvent.outcome"
"Allergies and Intolerances","Drug Class Allergy Intolerance","Pharmacologic category for an agent believed to cause a harmful or undesired physiologic response following exposure.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance","USQualityCoreAllergyIntolerance.code"
"Allergies and Intolerances","Medication Allergy Intolerance","Pharmacologic agent believed to cause a harmful or undesired physiologic response following exposure.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance","USQualityCoreAllergyIntolerance.code"
"Allergies and Intolerances","Non-Medication Allergy Intolerance","Non-pharmacologic agent believed to cause a harmful or undesired physiologic response following exposure. Examples include but are not limited to latex, eggs, pollen, and peanuts.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance","USQualityCoreAllergyIntolerance.code"
"Allergies and Intolerances","Reaction","Harmful or undesired physiologic response following exposure to a substance","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance","USQualityCoreAllergyIntolerance.reaction"
"Allergies and Intolerances","Reaction Date and Time","Last date and time a patient had a reaction to an allergen.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance","USQualityCoreAllergyIntolerance.lastOccurrence"
"Allergies and Intolerances","Allergy Intolerance Onset Date and Time","Date and time when an allergy or intolerance developed.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance","USQualityCoreAllergyIntolerance.onset[x]"
"Allergies and Intolerances","Allergy Intolerance Recorded Date and Time","Date and time of documentation for the allergy.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance","USQualityCoreAllergyIntolerance.recordedDate"
"Care Plans","Assessment and Plan of Treatment","Health professional's conclusions and working assumptions that will guide treatment of the patient.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-careplan","USQualityCoreCarePlan.text"
"Care Plans","Care Plan","Shared plan informed by members of a coordinated care team that details conditions, needs, and goals along with strategies for addressing them. Usage notes: Includes problems, health concerns, assessments, goals, and interventions from across care settings. Examples include but are not limited to clinical care plans, condition-specific care plans, coordinated care plan.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-careplan","USQualityCoreCarePlan.status; USQualityCoreCarePlan.intent; USQualityCoreCarePlan.subject; USQualityCoreCarePlan.category; USQualityCoreCarePlan.contributor; USQualityCoreCarePlan.addresses"
